index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
82," \w ἀγαθὸν|lemma=""ἀγαθός"" strong=""G00180"" x-morph=""Gr,AA,,,,ANS,"" x-tw=""rc://*/tw/dict/bible/kt/good""",1,6, ἀγαθὸν,,"Gr,AA,,,,ANS,",ἀγαθός,G00180,False,G00180,rc://*/tw/dict/bible/kt/good,82,1,1,51-PHP
83,", \w ἐπιτελέσει|lemma=""ἐπιτελέω"" strong=""G20050"" x-morph=""Gr,V,IFA3,,S,""",1,6, ἐπιτελέσει,", ","Gr,V,IFA3,,S,",ἐπιτελέω,G20050,False,G20050,,83,1,1,51-PHP
84," \w ἄχρι|lemma=""ἄχρι"" strong=""G08910"" x-morph=""Gr,PI,,,,G,,,""",1,6, ἄχρι,,"Gr,PI,,,,G,,,",ἄχρι,G08910,False,G08910,,84,1,1,51-PHP
85," \k-s |x-tw=""rc://*/tw/dict/bible/kt/dayofthelord""\*\w ἡμέρας|lemma=""ἡμέρα"" strong=""G22500"" x-morph=""Gr,N,,,,,GFS,"" x-tw=""rc://*/tw/dict/bible/other/biblicaltimeday""",1,6, ,"\k-s |x-tw=""rc://*/tw/dict/bible/kt/dayofthelord""\*","Gr,N,,,,,GFS,",ἡμέρα,G22500,False,G22500,rc://*/tw/dict/bible/kt/dayofthelord,85,1,1,51-PHP
86," \w Χριστοῦ|lemma=""χριστός"" strong=""G55470"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/christ""",1,6, Χριστοῦ,,"Gr,N,,,,,GMS,",χριστός,G55470,False,G55470,rc://*/tw/dict/bible/kt/christ,86,1,1,51-PHP
87," \w Ἰησοῦ|lemma=""Ἰησοῦς"" strong=""G24240"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/jesus""",1,6, Ἰησοῦ,,"Gr,N,,,,,GMS,",Ἰησοῦς,G24240,False,G24240,rc://*/tw/dict/bible/kt/jesus,87,1,1,51-PHP
89,"\w καθώς|lemma=""καθώς"" strong=""G25310"" x-morph=""Gr,D,,,,,,,,,"" x-tw=""rc://*/tw/dict/bible/other/like""",1,7, καθώς,,"Gr,D,,,,,,,,,",καθώς,G25310,False,G25310,rc://*/tw/dict/bible/other/like,89,1,1,51-PHP
90," \w ἐστιν|lemma=""εἰμί"" strong=""G15100"" x-morph=""Gr,V,IPA3,,S,""",1,7, ἐστιν,,"Gr,V,IPA3,,S,",εἰμί,G15100,False,G15100,,90,1,1,51-PHP
91," \w δίκαιον|lemma=""δίκαιος"" strong=""G13420"" x-morph=""Gr,NP,,,,NNS,"" x-tw=""rc://*/tw/dict/bible/kt/righteous""",1,7, δίκαιον,,"Gr,NP,,,,NNS,",δίκαιος,G13420,False,G13420,rc://*/tw/dict/bible/kt/righteous,91,1,1,51-PHP
92," \w ἐμοὶ|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1D,S,""",1,7, ἐμοὶ,,"Gr,RP,,,1D,S,",ἐγώ,G14730,False,G14730,,92,1,1,51-PHP
93," \w τοῦτο|lemma=""οὗτος"" strong=""G37780"" x-morph=""Gr,RD,,,,ANS,""",1,7, τοῦτο,,"Gr,RD,,,,ANS,",οὗτος,G37780,False,G37780,,93,1,1,51-PHP
94," \w φρονεῖν|lemma=""φρονέω"" strong=""G54260"" x-morph=""Gr,V,NPA,,,,,""",1,7, φρονεῖν,,"Gr,V,NPA,,,,,",φρονέω,G54260,False,G54260,,94,1,1,51-PHP
95," \w ὑπὲρ|lemma=""ὑπέρ"" strong=""G52280"" x-morph=""Gr,P,,,,,G,,,""",1,7, ὑπὲρ,,"Gr,P,,,,,G,,,",ὑπέρ,G52280,False,G52280,,95,1,1,51-PHP
96," \w πάντων|lemma=""πᾶς"" strong=""G39560"" x-morph=""Gr,RI,,,,GMP,""",1,7, πάντων,,"Gr,RI,,,,GMP,",πᾶς,G39560,False,G39560,,96,1,1,51-PHP
97," \w ὑμῶν|lemma=""σύ"" strong=""G47710"" x-morph=""Gr,RP,,,2G,P,""",1,7, ὑμῶν,,"Gr,RP,,,2G,P,",σύ,G47710,False,G47710,,97,1,1,51-PHP
98,", \w διὰ|lemma=""διά"" strong=""G12230"" x-morph=""Gr,P,,,,,A,,,""",1,7, διὰ,", ","Gr,P,,,,,A,,,",διά,G12230,False,G12230,,98,1,1,51-PHP
99," \w τὸ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,RD,,,,ANS,""",1,7, τὸ,,"Gr,RD,,,,ANS,",ὁ,G35880,False,G35880,,99,1,1,51-PHP
100," \w ἔχειν|lemma=""ἔχω"" strong=""G21920"" x-morph=""Gr,V,NPA,,,,,""",1,7, ἔχειν,,"Gr,V,NPA,,,,,",ἔχω,G21920,False,G21920,,100,1,1,51-PHP
101," \w με|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1A,S,""",1,7, με,,"Gr,RP,,,1A,S,",ἐγώ,G14730,False,G14730,,101,1,1,51-PHP
102," \w ἐν|lemma=""ἐν"" strong=""G17220"" x-morph=""Gr,P,,,,,D,,,""",1,7, ἐν,,"Gr,P,,,,,D,,,",ἐν,G17220,False,G17220,,102,2,1,51-PHP
103," \w τῇ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EP,,,,DFS,""",1,7, τῇ,,"Gr,EP,,,,DFS,",ὁ,G35880,False,G35880,,103,2,1,51-PHP
104," \w καρδίᾳ|lemma=""καρδία"" strong=""G25880"" x-morph=""Gr,N,,,,,DFS,"" x-tw=""rc://*/tw/dict/bible/kt/heart""",1,7, καρδίᾳ,,"Gr,N,,,,,DFS,",καρδία,G25880,False,G25880,rc://*/tw/dict/bible/kt/heart,104,1,1,51-PHP
105," \w ὑμᾶς|lemma=""σύ"" strong=""G47710"" x-morph=""Gr,RP,,,2A,P,""",1,7, ὑμᾶς,,"Gr,RP,,,2A,P,",σύ,G47710,False,G47710,,105,2,1,51-PHP
106,", \w ἔν|lemma=""ἐν"" strong=""G17220"" x-morph=""Gr,P,,,,,D,,,""",1,7, ἔν,", ","Gr,P,,,,,D,,,",ἐν,G17220,False,G17220,,106,1,1,51-PHP
107," \w τε|lemma=""τέ"" strong=""G50370"" x-morph=""Gr,DO,,,,,,,,""",1,7, τε,,"Gr,DO,,,,,,,,",τέ,G50370,False,G50370,,107,1,1,51-PHP
108," \w τοῖς|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,DMP,""",1,7, τοῖς,,"Gr,EA,,,,DMP,",ὁ,G35880,False,G35880,,108,1,1,51-PHP
109," \w δεσμοῖς|lemma=""δεσμός"" strong=""G11990"" x-morph=""Gr,N,,,,,DMP,"" x-tw=""rc://*/tw/dict/bible/kt/bond""",1,7, δεσμοῖς,,"Gr,N,,,,,DMP,",δεσμός,G11990,False,G11990,rc://*/tw/dict/bible/kt/bond,109,1,1,51-PHP
